date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:26	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2017%20Jan%202026%2006:23:25%20GMT	https://framerusercontent.com/images/HIqJvQVvRns21IjVQSGlmEQGe0Q.png?scale-down-to=512&width=2880&height=1620%20512w,https://framerusercontent.com/images/HIqJvQVvRns21IjVQSGlmEQGe0Q.png?scale-down-to=1024&width=2880&height=1620%201024w,https://framerusercontent.com/images/HIqJvQVvRns21IjVQSGlmEQGe0Q.png?scale-down-to=2048&width=2880&height=1620%202048w,https://framerusercontent.com/images/HIqJvQVvRns21IjVQSGlmEQGe0Q.png?width=2880&height=1620%202880w	D:/happencode/krow-mirror/framerusercontent.com/images/HIqJvQVvRns21IjVQSGlmEQGe0Q3af7.png	(from https://krow.com.tr/blog)
09:23:27	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2017%20Jan%202026%2006:23:25%20GMT	https://framerusercontent.com/images/lLfdo7sX0iBrnQBNY61zs2Y85A.png?scale-down-to=512&width=2880&height=1620%20512w,https://framerusercontent.com/images/lLfdo7sX0iBrnQBNY61zs2Y85A.png?scale-down-to=1024&width=2880&height=1620%201024w,https://framerusercontent.com/images/lLfdo7sX0iBrnQBNY61zs2Y85A.png?scale-down-to=2048&width=2880&height=1620%202048w,https://framerusercontent.com/images/lLfdo7sX0iBrnQBNY61zs2Y85A.png?width=2880&height=1620%202880w	D:/happencode/krow-mirror/framerusercontent.com/images/lLfdo7sX0iBrnQBNY61zs2Y85Aac88.png	(from https://krow.com.tr/blog)
09:23:27	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2017%20Jan%202026%2006:23:26%20GMT	https://framerusercontent.com/images/MpvMhqn7AFzpqN2EUw22d9UMaIw.png?scale-down-to=512&width=2880&height=1620%20512w,https://framerusercontent.com/images/MpvMhqn7AFzpqN2EUw22d9UMaIw.png?scale-down-to=1024&width=2880&height=1620%201024w,https://framerusercontent.com/images/MpvMhqn7AFzpqN2EUw22d9UMaIw.png?scale-down-to=2048&width=2880&height=1620%202048w,https://framerusercontent.com/images/MpvMhqn7AFzpqN2EUw22d9UMaIw.png?width=2880&height=1620%202880w	D:/happencode/krow-mirror/framerusercontent.com/images/MpvMhqn7AFzpqN2EUw22d9UMaIw4b77.png	(from https://krow.com.tr/blog)
09:23:27	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2017%20Jan%202026%2006:23:26%20GMT	https://framerusercontent.com/images/2NQCjAKEI6vTOWj88RuMklng.png?scale-down-to=512&width=2880&height=1620%20512w,https://framerusercontent.com/images/2NQCjAKEI6vTOWj88RuMklng.png?scale-down-to=1024&width=2880&height=1620%201024w,https://framerusercontent.com/images/2NQCjAKEI6vTOWj88RuMklng.png?scale-down-to=2048&width=2880&height=1620%202048w,https://framerusercontent.com/images/2NQCjAKEI6vTOWj88RuMklng.png?width=2880&height=1620%202880w	D:/happencode/krow-mirror/framerusercontent.com/images/2NQCjAKEI6vTOWj88RuMklng843c.png	(from https://krow.com.tr/blog)
09:23:27	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2017%20Jan%202026%2006:23:26%20GMT	https://framerusercontent.com/images/Efcv4Wb0Qv55rrJYNIfvcSUXveU.png?scale-down-to=512&width=2880&height=1620%20512w,https://framerusercontent.com/images/Efcv4Wb0Qv55rrJYNIfvcSUXveU.png?scale-down-to=1024&width=2880&height=1620%201024w,https://framerusercontent.com/images/Efcv4Wb0Qv55rrJYNIfvcSUXveU.png?scale-down-to=2048&width=2880&height=1620%202048w,https://framerusercontent.com/images/Efcv4Wb0Qv55rrJYNIfvcSUXveU.png?width=2880&height=1620%202880w	D:/happencode/krow-mirror/framerusercontent.com/images/Efcv4Wb0Qv55rrJYNIfvcSUXveU95bc.png	(from https://krow.com.tr/blog)
09:23:29	610514/610514	---M-Z	200	added ('OK')	text/html	etag:%22b5f9b1e9cda6e1e36645fd9852700274%22	https://krow.com.tr/paketler/lgs/aylik	D:/happencode/krow-mirror/krow.com.tr/paketler/lgs/aylik.html	(from https://krow.com.tr/paketler/lgs/yillik)
09:23:31	333348/333348	---MC-	200	added ('OK')	image/png	etag:%22c1031156057f0ab6c30946e63729dbc8%22	https://framerusercontent.com/images/W1AuOQ5EeSQbiNqifOSFz5NtjnM.png?width=2654&height=3405	D:/happencode/krow-mirror/framerusercontent.com/images/W1AuOQ5EeSQbiNqifOSFz5NtjnMdb49.png	(from https://krow.com.tr/sinavlar/lgs)
09:23:32	16143/16143	---MC-	200	added ('OK')	image/png	etag:%2279ef12f42c94b0ac93c033efe0eb8879%22	https://framerusercontent.com/images/pl5S1tyDXihF3rhemZHVBEXvHDE.png?width=800&height=1034	D:/happencode/krow-mirror/framerusercontent.com/images/pl5S1tyDXihF3rhemZHVBEXvHDEf561.png	(from https://krow.com.tr/sinavlar/lgs)
09:23:32	33054/33054	---MC-	200	added ('OK')	image/png	etag:%22946068937cbed5ffc002f8824880a654%22	https://framerusercontent.com/images/GguHRPNbh2JwjcpZt5sxTXsceaw.png?width=537&height=1088	D:/happencode/krow-mirror/framerusercontent.com/images/GguHRPNbh2JwjcpZt5sxTXsceaw7aaa.png	(from https://krow.com.tr/sinavlar/yks)
09:23:33	258216/258216	---MC-	200	added ('OK')	image/png	etag:%224c8f1591d0eb5ddb0c12307568e43b69%22	https://framerusercontent.com/images/wqeBl7Ga9MOBE8p5HQrY0Wz6RJc.png?width=1600&height=1592	D:/happencode/krow-mirror/framerusercontent.com/images/wqeBl7Ga9MOBE8p5HQrY0Wz6RJcfd1a.png	(from https://krow.com.tr/sinavlar/yks)
